id,block,trialno_full,trialno_block,stim,choice,correct,response_time,feedback,money,run
subj_1,1,1,1,5,2,0,637.600000000006,11,20,1
subj_1,1,2,2,4,1,0,772.799999999988,-11,0,1
subj_1,1,3,3,6,2,1,1422.79999999999,1,0,1
subj_1,1,4,4,1,2,1,1076.70000000001,11,20,1
subj_1,1,5,5,4,1,0,2314,-11,0,1
subj_1,1,6,6,4,1,0,1360,-11,-20,1
subj_1,1,7,7,5,2,0,1723.89999999999,-1,-20,1
subj_1,1,8,8,2,2,0,2109.89999999999,-11,-40,1
subj_1,1,9,9,5,2,0,2195.79999999999,11,-20,1
subj_1,1,10,10,1,2,1,466.399999999994,11,0,1
subj_1,1,11,11,3,2,0,494.399999999994,-1,0,1
subj_1,1,12,12,6,2,1,2003,-11,-20,1
subj_1,1,13,13,2,1,1,845.600000000006,1,-20,1
subj_1,1,14,14,5,2,0,746.200000000012,11,0,1
subj_1,1,15,15,5,2,0,666.899999999994,11,20,1
subj_1,1,16,16,2,1,1,770.799999999988,1,20,1
subj_1,1,17,17,3,2,0,626.799999999988,-1,20,1
subj_1,1,18,18,6,1,0,1540.10000000001,1,20,1
subj_1,1,19,19,1,2,1,945.299999999988,11,40,1
subj_1,1,20,20,4,1,0,1388,-11,20,1
subj_1,1,21,21,4,2,1,973.200000000012,-11,0,1
subj_1,1,22,22,1,2,1,813.200000000012,11,20,1
subj_1,1,23,23,6,1,0,453.100000000006,-11,0,1
subj_1,1,24,24,1,2,1,1197.79999999999,11,20,1
subj_1,1,25,25,2,2,0,804.400000000023,-11,0,1
subj_1,1,26,26,2,1,1,1037,1,0,1
subj_1,1,27,27,6,2,1,564.299999999988,-11,-20,1
subj_1,1,28,28,1,2,1,416.299999999988,11,0,1
subj_1,1,29,29,1,2,1,334.200000000012,11,20,1
subj_1,1,30,30,3,1,1,313.5,11,40,1
subj_1,1,31,31,3,2,0,663.5,11,60,1
subj_1,1,32,32,3,2,0,519.400000000023,11,80,1
subj_1,1,33,33,4,2,1,469.400000000023,-11,60,1
subj_1,1,34,34,4,2,1,1267.29999999999,1,60,1
subj_1,1,35,35,5,2,0,593.299999999988,-1,60,1
subj_1,1,36,36,3,2,0,721.900000000023,-1,60,1
subj_1,1,37,37,4,1,0,2237.90000000002,1,60,1
subj_1,1,38,38,3,2,0,1067.09999999998,-1,60,1
subj_1,1,39,39,3,2,0,767.099999999977,11,80,1
subj_1,1,40,40,6,1,0,495,1,80,1
subj_1,1,41,41,4,2,1,741.700000000012,1,80,1
subj_1,1,42,42,4,1,0,2075,-11,60,1
subj_1,1,43,43,2,1,1,1898.90000000002,-11,40,1
subj_1,1,44,44,1,2,1,535.5,-1,40,1
subj_1,1,45,45,2,2,0,664.799999999988,-11,20,1
